rating,review
1,i bougth this micro sd card after some trubles with other that i got from kingston i can tell that sandisk is other quality this is the best my i phone can read a gb very fast the dta transfer speed from my pc to my is amazing if you are looking for additional storage to you phone for music pictures and other type of files this is for youprosvery good quality materials of constructionamazing speedupdate after one year this memory is damaged i can not delete or put new files on it i can not format this memory i tried to format with my phone with my pc with a camera and nothing now this is like a gb cd the data in the memory is only available to read but i can not move or delete it i bought this memory to be used to backup all my data of my android device but now is only a readable memory i can not write data on it any more i hope sandisk make a better products in the future total disagree i will buy a samsung memory card expected a better quality
1,with all the great reviews on this card i picked this up for my samsung galaxy s iii popped in the card and i was happy taking pictures saving files and living lifefast forward two months later and all of a sudden the card stops functioning my phone wont read it any more my computer wont read it either submitted a ticket to sandisk hopefully i can get a replacement that actually worksthank goodness i saved all my photos on dropbox
1,i cant read or write anything on this card on my pc or my gs i am pretty sure that i got a dud
1,i have had this for months and the sd card already stopped deleting files and keeping pictures i have tried reformatting and nothing helps not coolupdate april i contacted sandisk and i am sending the problematic card back for warranty replacement i hope this will resolve the issue with the card i will keep you updated once the process is complete
1,bought it installed it in my droid razrm never removed it and it died at a little over months now did not store apps or anything just pictures and video from the phone
1,although amazon claim it is a c ultra fast memory card it actually has much slower write speed than other c microsd card it only scores about of the normal speed for example i have tested it against my old maxell c hc microsd card the test was done by writing the same mb random data from dram to empty microsd card through a usb card reader the resulting time was the average value from tests of each devicesandisk ultra gb cuhs ms means mbsmaxell c hc ms means mbsthe speed is completely unacceptable for a class claim lower than mbs the lowest boundary of class device even the overadvertisement of sd card speeds are common claiming mbs for actual mbs it is almost a scam some class card will beat this class card
1,hii ordered two card and they arrived the next day even faster than prime unfortunatey this gb microsd card is designed to only work with exfat if youre an exfat fan and dont ever plan to change this is the card for you ive been able to take all of the previous gb microsd cards ive ordered put them in an adapter and format them in my windows desktop im a ntsf fan and find it to be much more stable in tabletswith other cards that arent intentionally crippled i can format the card to ntsf on monday exfat on tuesday fat on wednesday its exfat or the highway for sandiskyou can use easeus partition master to format the card to fat for devices such as cameras and mp players and many many many others that dont support exfat that being said you only get one shot once its formatted into fat attempting to format back to exfat or ntsf hoses the card i couldnt reformat to ntsf no matter what i tried once again dont bother trying to format in your computer exfat is the only choiceany card that needs a special utility to format to anything other than exfat shouldnt be supported dont buy it its designed to failshame on you sandiskupdate i spoke with sandisk technical support and they confirmed that sandisk ultra gb microsd cards are not compatible with android and above this would be for class sandisk ultra gb microsdxc class uhs memory card mbs with adapter sdsdquagua as well as sandisk gb mobile ultra microsdxc class uhs mbs memory card with sd adapter new version retail packaging with komputerbay sdxc usb readeri did not have any success formatting the class card with easeus partition master sandisk recommended the free utility hpusbdiskexe and i successfully downloaded it from softpedia i was unable to format the card with ntsf but successfully converted one of the cards to fat for a friend who wants to use it in a sandisk mp player that of course is not compatible with exfatacting on sandisk advice i am returning the unopened class ten cards with the komputerbay reader i spoke with a patient and gracious tierone tech support person and the party line seems be that consumers only use microsd cards in phones i dont know what theyre thinking cameras mp players tablets adapters and so on anyway its a known issuei can confirm that the class gb microsd card can be formatted in windows back and forth to most any format so after returning four class cards im back to class sixits still unconscionable to deliberately design these cards to be incompatible i hope sandisk will come up with a solution or recall the cards buyer bewareupdate i received my two replacement class gb microsd cards and it took less than five minutes to open the horrible packaging and to perform a quick format to ntsf donei gave my friend the class gb microsd card formatted into fat by hpusbdiskexe and he couldnt read it on his computer as it turns out the class cards are not only incompatible with most devices bur also with most usb card readers another trip across towni can confirm that the iogear sdmicrosdmmc card readerwriter gfrsd greengray selling on amazon for works so after countless hours of wasted effort my friend has a card formatted to fat that works with a sandisk mp playeronce again sandisk has admitted that these cards are not compatible with androd or above that being of android tablets and a majority of android phones these cards are intentionally crippled by designto quote a friendper the sdhc standard the format is fat sdxc gb and larger the spec calls for exfat microsoft has limited the os to only format larger cards as exfat and will not allow fat also seems they have found a way to also block ntfs thus far very few android devices can read exfat because they refuse to pay m for licensing of the exfat file system to all masochists out therebuy this card to everyone elseunsafe at any speed
1,updatethis card stopped working as of late february after only about months of regular use there are similar complaints about this card now and this is of star out of reviews at first i thought it was my phone not being able to find it or the card would often spontaneously dismount and there were the frequent and repeated alerts for me to format the card formatting the card only cured the problem for a day or two plugged it into the desktop directly and the same thing happened got another card of another brand and everything has been working well since early march with the other card so it was not the phone but the card that is at fault very poor longevity the price is right but at the end not worth it if you need to buy another card to replace it amazon only covers days so consider this a very expensive day experiment if you are willing to try this brand of card would not recommend
1,ive had two of these cards so far neither of them were recognized by mac or pc i am able to use it but only if i leave it in the gopro camera and hook up the gopro to the mac via usb it will not work as a normal sd card and needs to be used with the camera i can not recomend this card at all i had the first card replaced because it was defective now the second card is defective also i dont have the time to play around with another return so i will just not ever buy sandisk again
1,i bought two of the gb sandisk ultra microsdhc cards and both of them were unusablethe first one stopped accepting new data when i had put a bit less than one gig of data onto the card i couldnt add more files and i couldnt reformat the card if i tried to write a new file onto the card the write operation seemed as if it worked but the new data couldnt be read back successfully the files already on the card were still readable though so basically the card had become a gb rom fortunately there was no sensitive personal information on the card so i returned it to amazonthe second one didnt fail the same way but it was still unusable if i transferred a bunch of files and then read them back most of the transferred files had data errors for example a minute music file might only be able to have its first minute of music played back then the bad data would stop the music player i ran a writereadback test and confirmed that there were data errors on nearly every block tested i used flash_drive_tester_vexe which is a free downloadi ended up buying the equivalent transcend producttranscend information tsgusdc gb micro sdhc flash memory no box or adapterwhich has been performing flawlessly i have over half of the capacity in use and ive never seen any sign of data loss or corruption for usb plug in flash drives ive had good luck with sandisk products but my experience with the sandisk microsdhc cards has been terrible
1,i purchased this card the gb version to use in a samsung galaxy s phone it worked perfectly for almost three months at which point it just stopped mounting the phone detects a card but is incapable of formatting it its even worse on my computer which does not even detect the card anymore and yes im using an sdxccompatible usb readeri contacted sandisk for an rma and they will probably replace it although the replacement process is needlessly slow and painfuli had bought this card based on the glowing reviews but im going to stay away from sandisk products from now on
1,when i got this memory card noticed the writr protect lever was hard to move instead of just sending it back i tried to meve it and the mdmory card broke on hslti hanve many sndisk cards and havd had no troible with them i guess i just got one that missed wuslity conttol on the linedont want to buy another but what do you do
1,dont even waste your time buying this memory card gb is written on it but its actually even less than gb thats in iti have never experienced such deceptioni had tried loading my pics and music and other data on it from day one but no matter what i did i wont take more than gb of data i didnt realise till i read other stories of similar memory cards that will state gb but would contain a smaller memory capacity often times even less than gbi bought this card for what a big wastenow i am so scared of buying memory cards on amazon or online elsewherei wouldnt dear it againit was in a sealed sanddisk packet so i was thinking it must be originalalasit was a big wastei have lost confidence in buying memory card on amazon
